Page Title,Page URL,Source Type,Section Type,Text Content
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/announcements,Announcement,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
