Page Title,Page URL,Source Type,Section Type,Text Content
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,P,"Material featured on this site may be reproduced free of charge in any format or media without requiring specific permission. This is subject to the material being reproduced accurately and not being used in a derogatory manner or in a misleading context. Where the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material does not extend to any material on this site, which is explicitly identified as being copyright of a third party as well as to materials contained in the hyperlinked sites. Authorization to reproduce such material must be obtained from the copyright holders concerned."
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Copyright Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/copyright-policy,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
