Page Title,Page URL,Source Type,Section Type,Text Content
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,P,Data access will be provided as per above policies (all that applies).
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,P,Data Access Guidelines (Bilingual; Size:415KB Format:PDF Tool:PDFViewer) /(English; Size:323KB Format:PDF Tool:PDFViewer)
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Data Access Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-access-policy,Data,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
