Page Title,Page URL,Source Type,Section Type,Text Content
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Data Quality | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/data-quality,Data,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
