Page Title,Page URL,Source Type,Section Type,Text Content
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,"GSMaP_MVK product, NOAA Climate Prediction Center (CPC) rainfall analysis, CPC Infrared brightness temperature, IMD gridded rain (0.25 degree), etc."
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,"-For gauge adjustment, the software used was JAXA MCD_V05.02, based upon Mega et al. (2019). -Merging NOAA CPC and Indian gauges was accomplished using Matlab software. -The algorithms pertaining to GSMaP_ISRO are provided in Kumar et al. (2022) in detail."
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,"Kubota, T., Aonashi, K., Ushio, T., Shige, S., Takayabu, Y. N., Kachi, M., and Oki, R. (2020). Global Satellite Mapping of Precipitation (GSMaP) products in the GPM era. Satellite Precipitation Measurement: Volume 1, 355-373. Kumar, P., Gairola, R., Kubota, T., and Kishtawal, C. (2021). Hybrid assimilation of satellite rainfall product with high density gauge network to improve daily estimation: A case of Karnataka, India. Journal of the Meteorological Society of Japan. Ser. II, 99(3), 741-763. Kumar, P., Varma, A. K., Kubota, T., Yamaji, M., Tashima, T., Mega, T., and Ushio, T. (2022). Long-Term High-Resolution Gauge Adjusted Satellite Rainfall Product Over India. Earth and Space Science, 9(12), e2022EA002595. Mega, T., Ushio, T., Matsuda, T., Kubota, T., Kachi, M., and Oki, R. (2019) Gauge-Adjusted Global Satellite Mapping of Precipitation, IEEE Trans. Geosci. Remote Sens, 57, 4, 1928-1935."
GSMap ISRO Rain | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/gsmap-isro-rain,General,LI,"Kumar, P., Srivastava, S.S., Jivani, N., Varma, A.K., Yokoyama, C. & Kubota, T. (2024) Long-term assessment of ERA5 reanalysis rainfall for lightning events over India observed by Tropical Rainfall Measurement Mission Lightning Imaging Sensor. Quarterly Journal of the Royal Meteorological Society, 150(761), 2472â€“2488. Available from:https://doi.org/10.1002/qj.4719(link is external)"
