Page Title,Page URL,Source Type,Section Type,Text Content
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,SMAP Sea Surface Salinity (https://podaac.jpl.nasa.gov/dataset/SMAP_JPL_L3_SSS_CAP_8DAY-RUNNINGMEAN_V5(link is external)) Altimetry-derived sea surface currents (https://data.marine.copernicus.eu/product/SEALEVEL_GLO_PHY_L4_MY_008_047/(link is external)).
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,i. Remap Sea Surface Currents with a spatial resolution of 5 km.
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"ii. Backward advection of particles from the final time {t} rsub {f} to the initial time {t} rsub {f} -14 , where 14 is the number of days the particles are advected using Runge-Kutta 4th order method."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,iii. The SMAP Sea Surface Salinity observed at {t} rsub {f} -14 is interpolated onto the particle positions that day.
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"iv. With this, each particle has an SSS value on {t} rsub {f} day that corresponds to the observation at {t} rsub {f} -14 ."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"[1] Barbara, B., Drushka, K., & Gaube, P. (2021), â€œLagrangian reconstruction to extract small-scale salinity variability from SMAP obervationsâ€, JGR Oceans, 126(3), e2020JC016477."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"[2] Dencausse, G., Morrow, R., RogÃ©, M., and Fleury, S. (2014). Lateral stirring of large-scale tracer fields by altimetry. Ocean Dynamics, 64(1), 61â€“78."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"[3] DesprÃ¨s, A., Reverdin, G., and d'Ovidio, F. (2011). Mechanisms and spatial variability of mesoscale frontogenesis in the northwestern subpolar gyre. Ocean Modelling, 39(1), 97â€“113."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"[4] Durack, P. J., Lee, T., Vinogradova, N. T., and Stammer, D. (2016). Keeping the lights on for global ocean salinity observation. Nature Climate Change, 6(3), 228â€“231."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"[5] Lehahn, Y., d'Ovidio, F., and Koren, I. (2018). A satellite-based Lagrangian view on phytoplankton dynamics. Annual Review of Marine Science, 10(1), 99â€“119."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"[6] RogÃ©, M., Morrow, R. A., and Dencausse, G. (2015). Altimetric Lagrangian advection to reconstruct Pacific Ocean fine-scale surface tracer fields. Ocean Dynamics, 65(9), 1249â€“1268."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,The algorithm is called Lagrangian Reconstruction Technique. User should refer [1].
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,"This algorithm is applicable only in the region with moderate to high eddy kinetic energy and where lateral advection dominates.High resolution sea surface salinity product generated by Lagrangian technique can have error due to tracer bias (depends on accuracy of initial conditions) and advection bias (Passive stirring can introduce bias due to mixing physics (air-sea fluxes, mixing etc.))."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,LI,Data sets have biases as well as inaccuracy.
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,P,"Jai Kumar, POD/AOSG/EPSA, Space Applications Centre (ISRO), Ahmedabad, 380015,kumarj@sac.isro.gov.in"
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
High Resolution Sea Surface Salinity | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/high-resolution-sea-surface-salinity,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
