Page Title,Page URL,Source Type,Section Type,Text Content
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Altimeter Sensor-Interim Geophysical Data Record (S-IGDR)
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,i. High resolution bathymetry is used to separate the coastal and land waveforms.
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,ii. Waveforms are classified based on their shape.
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"iii. Waveforms are retracked with the beta parameter retrackers (BETA5 and BETA9) and BAGP (Brown with asymmetric Gaussian Peak) retracker to get sea surface height (SSH), sea surface height anomaly (SSHA), significant wave height (SWH) and wind speed."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"iv. Using Significant Wave Height (SWH) and wind speed, the wave period is derived based on the data adaptive technique of &quot; Genetic Algorithm &quot; (Remya et al. 2011)"
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,v. Wave power is derived based on SWH and estimated wave period. 40 Hz data is filtered using a lanczos filter to remove high frequency noise.
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,vi. Wind power is calculated using standard wind power formula. 40 Hz data is filtered using a lanczos filter to remove high frequency noise.
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Amarouche L, Thibaut P, Zanife O.-Z, Dumont, P. Vincent J.-P. and Steunou N 2004. Improving the Jason-1 ground retracking to better account for attitude effects, Mar. Geod. 27: 171-197."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Brown, G. S. 1977. The Average impulse response of a rough surface and its applications, IEEE Trans. Antennas Propag. AP-25: 67-74."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Chelton, D. B., J. C. Ries, B. J. Haines, L. L. Fu, and P. S. Callahan, 2001, “Satellite Altimetry”,"
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Satellite Altimetry and Earth Sciences, ed. L.L. Fu and A. Cazenave, pp. 1-131."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Chaudhary A., Basu S., Kumar R, Mahesh, C. and Sharma R. 2015.” Shape classification of AltiKa 40-Hz waveforms using Linear Discriminant Analysis and Bayes Decision Rule in the Gujarat Coastal region “Marine Geodesy."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Coastal and Hydrology Altimetry product (PISTACH) handbook, CLS-DOS-NT-10-246, SALP-MU-P-OP-16031-CN 01/00, 1. 0, Oct. 4, 2010"
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Deng, X., and W. E. Featherstone. 2006. A coastal retracking system for satellite radar altimeter waveforms: Application to ERS-2 around Australia. J. Geophys. Res. 111: doi:10.1029/2005JC003039."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Deng, X. 2003. “Improvement of geodetic parameter estimation in coastal regions from satellite radar altimetry.” PhD. Dissertation, Curtin University of Technology, Perth, Australia."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Halimi, A., C. Mailhes, J. – Y. Tourneret, P. Thibaut, and F. Boy. 2013. Parameter estimation for peaky altimetric waveforms. IEEE Trans. Geosci. Rem. Sens., 51: 1568-1577."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"The PISTACH project for coastal altimetry: Status, products and early results, in Proc. OST-ST Meeting, Seattle, WA."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Nelder, J.A. and Mead R. 1965. A simplex method for function minimization. Computer Journal, vol 7, no. 4, 308-313."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Ray, R. D., 1999, A global ocean tide model from TOPEX/POSEIDON altimetry: GOT99.2, NASA Tech. Memorandum 1999-209478, Goddard Space Flight Center, Greenbelt, MD."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"SARAL/AltiKa Products Handbook, SALP-MU-M-OP-15984-CN, 2, 4, December 9, 2013"
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Remya, G., Kumar, R., Basu, S., &amp; Sarkar, A. (2011). Altimeter-derived ocean wave period using genetic algorithm. IEEE Geoscience and Remote Sensing Letters, 8(2), 354-358."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"R. Govindan, R. Kumar, S. Basu and A. Sarkar. &quot; Altimeter-Derived Ocean Wave Period Using Genetic Algorithm, &quot; IEEE Geosci. Remote Sens. Lett.,VOL 8.NO. 2,pp. 354 - 358, March 2011"
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Sindhu, B., I. Suresh, A. S. Unnikrishnan, N. V. Bhatkar, S.Neetu and G. S. Michael 2007. Improved bathymetric data sets for the shallow water regions in the Indian Ocean. J. Earth Syst. Sci.,116,61–274."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Sreejith, K.M., Rajesh, S., Majumdar, T.J., Srinivasa Rao G., Radhakrishna, M., Krishna, K.S., Rajawat A.S., 2013. High-resolution residual geoid and gravity anomaly data of the northern Indian Ocean - an input to geological understanding. J. Asian Earth Sci. 62, 616–626."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,User should refer User Handbook “Moving closer to the coast by SARAL/AltiKa: Geophysical Product for Indian Mainland Region” for complete reference to the algorithm and processing steps. For Handbook SARAL/AltiKa: Geophysical Product for Indian Mainland Region (Size: 1.14MB Format: PDF Tool: PDFView)Click Here
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,The wave power (P) is mathematically derived as
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,1. P is Wave power per unit of wave-crest length (in Kilowatt/m)
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,2. R represents the satellite range
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,3. H m0 is the significant wave height (in meters)
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,4. T is wave period (in seconds)
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,5. ρ is the density of water (in kilogram/cubic meter)
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,6. g is the acceleration due to gravity (in meters/square seconds)
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Wind power is generated by using;
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,We have assumed unit area in this equation. is density of air and is wind speed.
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"Based on the availability of the Altimeter dataset over the study region (Data Gap, altimeter track loss, bad weather, etc.). Geophysical and atmospheric range corrections have been obtained from the standard 1-Hz product of SARAL/AltiKa."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Data problems due to bad weather (heavy rain).
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Onboard tracker failure leads to unusable data.
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,Coastal contamination may lead to erroneous estimate of the derived parameters.
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,ssha_cycCCC_yyyymmdd_yymmdd.jpg (sea surface height anomaly image)
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"CCC is the cycle number and TTTT is the track number.,"
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,"first yyyymmddHHMMSS is the start time of the file., and"
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,second yyyymmddHHMMSS is the end time of the file..
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,LI,For values added wind wave power product:
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Indian Mainland Coastal Product | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/indian-mainland-coastal-product,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
