Page Title,Page URL,Source Type,Section Type,Text Content
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Altimeter Interim Geophysical Data Record (IGDR)
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,Global Ionosphere Maps (GIM) produced Total Electron Content (TEC) maps
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,"Firstly the waveforms are classified based on their signature, and then these waveforms are retracked with the suitable retracker."
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,"Dedicated inland range correction algorithms are required to account for the atmospheric delays.Detailed information about the processing can be found in (S. Chanderet. al. 2014, A .Dubey et. al. 2014)."
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,"S. Chander, and P Chauhan (2013). Algorithm Theoretical BasisDocument for SARAL/AltiKa data processing for geophysical parametersretrieval, scientific report no. EPSA/MPSG/PMD/2013/01."
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,"S Chander, D Ganguly, AK Dubey, PK Gupta, RP Singh and P Chauhan(2014).Inland water bodies monitoring using satellite altimetry overIndian region, The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume XL-8, 2014, ISPRS Technical Commission VIII Symposium, 09 ? 12 December 2014, Hyderabad, India."
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,"A K Dubey, P K Gupta, S Dutta and R P Singh (2015). Water Level Retrieval using SARAL/AltiKa Observations in the Braided Brahmaputra River, Eastern India, Marine Geodesy, DOI: 10.1080/01490419.2015.1008156"
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,"D Ganguly, S Chander, S Deasi and P Chauhan. Optimal waveform retracker for inland water bodies: A case study over Ukai Dam/Reservoir, is under review in the journal of Marine Geodesy."
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,"P K Gupta, A K Dubey, N Goswami, R P Singh and P Chauhan (2015): Use of SARAL/AltiKa Observations for Modeling River Flow. Marine Geodesy (accepted)."
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,The water level over the inland water bodies can be retrieved using altimeter waveforms data.
Inland Water Height | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/inland-water-height,General,LI,The range information is estimated based on the arrival time of the radar pulse.
