Page Title,Page URL,Source Type,Section Type,Text Content
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,P,"MOSDAC-LIVE is a web enabled data and Information visualization and analysis system of MOSDAC, SAC/ISRO. LIVE provides access to Satellite Data Products and Information products derived from Satellite and model forecast in near real time basis."
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,P,"The information contained in this website is currently a Beta site under development. Some of the information, layers may not have been completely validated. This information is to be used along with other reliable data sources for interpretation and derivation of weather and oceanographic events."
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,P,"The information is provided on best effort basis and while we endeavor to keep the information up to date and correct, we make no representations or warranties of any kind, express or implied, about the absolute accuracies of information, data products, services, or related graphics contained on the website for any purpose unless and until explicitly mentioned."
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,P,The maps are only for gross indication of locations.
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,P,"Every effort is made to keep the website up and running smoothly. However, we take no responsibility for, and will not be liable for, the website being temporarily unavailable due to technical issues beyond our control.Contact: admin@mosdac.gov.in"
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,P,Credits for following information/layers/data used in this website is dually acknowledged
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,LI,Standard ProductsINSAT3RIMAGERTIR1 CountTIR2 CountMIR CountSWIR CountVisible CountWater Vapour CountSOUNDERSector ALongwave Infrared 1 CountLongwave Infrared 2 CountLongwave Infrared 3 CountLongwave Infrared 4 CountLongwave Infrared 5 CountLongwave Infrared 6 CountLongwave Infrared 7 CountMidwave Infrared 1 CountMidwave Infrared 2 CountMidwave Infrared 3 CountMidwave Infrared 4 CountMidwave Infrared 5 CountShortwave Infrared 1 CountShortwave Infrared 2 CountShortwave Infrared 3 CountShortwave Infrared 4 CountShortwave Infrared 5 CountShortwave Infrared 6 CountVisible CountINSAT3SIMAGERTIR1 (10.2-11.2 μm)TIR2 (11.5-12.5 μm)MIR (3.8-4.0 μm)SWIR (1.55-1.70 μm)VISIBLE (0.55-0.75 μm)WATER VAPOUR (6.5-7.0 μm)
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,LI,INSAT3RIMAGERTIR1 CountTIR2 CountMIR CountSWIR CountVisible CountWater Vapour CountSOUNDERSector ALongwave Infrared 1 CountLongwave Infrared 2 CountLongwave Infrared 3 CountLongwave Infrared 4 CountLongwave Infrared 5 CountLongwave Infrared 6 CountLongwave Infrared 7 CountMidwave Infrared 1 CountMidwave Infrared 2 CountMidwave Infrared 3 CountMidwave Infrared 4 CountMidwave Infrared 5 CountShortwave Infrared 1 CountShortwave Infrared 2 CountShortwave Infrared 3 CountShortwave Infrared 4 CountShortwave Infrared 5 CountShortwave Infrared 6 CountVisible Count
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,LI,IMAGERTIR1 CountTIR2 CountMIR CountSWIR CountVisible CountWater Vapour Count
MOSDAC Live,https://www.mosdac.gov.in/internal/urja,General,LI,SOUNDERSector ALongwave Infrared 1 CountLongwave Infrared 2 CountLongwave Infrared 3 CountLongwave Infrared 4 CountLongwave Infrared 5 CountLongwave Infrared 6 CountLongwave Infrared 7 CountMidwave Infrared 1 CountMidwave Infrared 2 CountMidwave Infrared 3 CountMidwave Infrared 4 CountMidwave Infrared 5 CountShortwave Infrared 1 CountShortwave Infrared 2 CountShortwave Infrared 3 CountShortwave Infrared 4 CountShortwave Infrared 5 CountShortwave Infrared 6 CountVisible Count
