Page Title,Page URL,Source Type,Section Type,Text Content
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,P,"Megha-Tropiques is an Indo-French Joint Satellite Mission for studying the water cycle and energy exchanges in the tropics. The main objective of this mission is to understand the life cycle of convective systems that influence the tropical weather and climate and their role in associated energy and moisture budget of the atmosphere in tropical regions. Megha-Tropiques provides scientific data on the contribution of the water cycle to the tropical atmosphere, with information on condensed water in clouds, water vapour in the atmosphere, precipitation, and evaporation. With its circular orbit inclined 20 deg to the equator, the Megha-Tropiques is a unique satellite for climate research that should also aid scientists seeking to refine prediction models. The Megha-Tropiques has day, night and all-weather viewing capabilities; it passes over India almost a dozen times every day, giving scientists an almost real- time assessment of the evolution of clouds."
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/megha-tropiques,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
