Page Title,Page URL,Source Type,Section Type,Text Content
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,"CDO Version : 1.9.3 , Conventions : CF 1.6"
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,"Cloud Properties Products, downloaded from LaRC, NASA"
METEOSAT8 Cloud Properties | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/meteosat8-cloud-properties,General,LI,"B. A. Wielicki, B. R. Barkstrom, B. A. Baum, T. P. Charlock, R. N. Green, D. P. Kratz, R. B. Lee, P. Minnis, G. L. Smith, T. Wong, D. F. Young, R. D. Cess, J. A. Coakley, D. A. H. Crommelynck, L. Donner, R. Kandel, M. D. King, A. J. Miller, V. Ramanathan, D. A. Randall, L. L. Stowe, R. M. Welch, ""Clouds and the Earth's Radiant Energy System (CERES): Algorithm overview"", IEEE Trans. Geosci. Remote Sens., vol. 36, no. 4, pp. 1127-1141, Jul. 1998."
