Page Title,Page URL,Source Type,Section Type,Text Content
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,H1,Meteorological & Oceanographic Satellite Data Archival Centre
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/node?qt-services_quicktab=0,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
