Page Title,Page URL,Source Type,Section Type,Text Content
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Ocean Subsurface | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/ocean-subsurface,Ocean,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
