Page Title,Page URL,Source Type,Section Type,Text Content
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,The daily gridded map of Absolute Dynamic Topography data is obtained from AVISO
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Remove the long wavelength component of the SSH anomaly and retain the mesoscale features with the wavelength 50-500 km scale.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Identified outer most closed contour of SSH anomaly.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,"The closed contours are sequentially identified, analysed and checked essential criteria."
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Size and amplitude based thresholds for eddy detection were fixed after carrying out several trials.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Eddies are detected and calculated the eddy parameters.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,"Chelton, D. B., M. G. Schlax, R. M. Samelson, and R. A. de Szoeke (2007), Global observations of large oceanic eddies, Geophys. Res. Lett., 34, L15606, doi:10.1029/2007GL030812."
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,We have followed Chelton et. Al. 2007 in deriving the eddy census in Bay of Bengal with minor modifications in fixing the thresholds for eddy detection specific to this region. This was achieved after performing several trial experiments with different combinations of size and amplitude values.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Accuracy assessment of the dataset has not been carried out. The number of eddies are depending upon the diameter and amplitude threshold. Only mesoscale eddies with maximum diameter of 400km are being considered.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,Less reliability of SSH data near the coast with altimetry is a known problem.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,The typical file name is 'eddy_parameter_YYYY.nc' or ‘YYYY.gif’ where
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,'eddy_parameter’ signifies that this product consists of eddy parameters.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,"'YYYY' corresponds to the year, ex: 2015."
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,LI,All the data files are in NetCDF 4 format and the images are in gif format.
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Oceanic Eddies Detection | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceanic-eddies-detection,Ocean,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
