Page Title,Page URL,Source Type,Section Type,Text Content
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
OCEANSAT-3 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/oceansat-3,Ocean,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
