Page Title,Page URL,Source Type,Section Type,Text Content
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,P,"This Policy outlines the types of information we gather about you and how we use it. We understand that your personal information is very sensitive, and protecting the privacy of this information is a top priority for us. All the information collected by this site will be kept strictly confidential. We do not rent, sell or share your personal information with any other third party."
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,P,"We will not disclose your personal information with any other third party unless: • To help investigate, prevent or take action regarding unlawful and illegal activities, suspected fraud, potential threat to the safety or security of any person, violations ofhttp://www.mosdac.gov.interms of use or to defend against legal claims. • Special circumstances such as compliance with subpoenas, court orders, requests/order from legal authorities or law enforcement agencies requiring such disclosure. If we ever change the Privacy Policy, we will post that information on this page. If you have any questions abouthttp://www.mosdac.gov.inPrivacy Policy, please e-mail us at admin[at]mosdac[dot]gov[dot]in."
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Privacy Policy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/privacy-policy,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
