Page Title,Page URL,Source Type,Section Type,Text Content
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,P,a. ENVISAT website(http://earth.esa.int/(link is external))b.AVISO website(http://www.avisooceanobs.com(link is external))(Jason-2)2. SARAL/AltiKa data were obtained from MOSDAC website (http://www.mosdac.gov.in)
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,The given range was corrected forpath delay in the atmosphere through which the radar pulse passesthe nature of the reflecting sea surface
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,path delay in the atmosphere through which the radar pulse passes
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,the nature of the reflecting sea surface
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,All range corrections are added to the range
River Discharge | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/river-discharge,General,LI,Rating curve methodology was developed between Altimeter river height and in-situ river discharge (Rantz et al. 1982).
