Page Title,Page URL,Source Type,Section Type,Text Content
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,P,Uses RSS (Rich Site Summary) based technology for dissemination of Satellite Images and Data Products to end users on Internet
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,P,Allow Users to subscribe to these feeds automatically and get notified for availability of new data sets
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,P,Feed subscription is supported by Standard browsers and on RSS readers available on Mobile Apps
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,P,"Enhanced Features specific to Satellite Data are Planned in Customized Client, supporting automated download, analysis and visualization of data Currently SCATSAT-1 High Resolution Products are available, soon more products are planned to be added."
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,P,Access the feeds using below links:
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
RSS Feed | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/rss-feed,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
