Page Title,Page URL,Source Type,Section Type,Text Content
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,P,"Scatsat-1 was launched by PSLV-C35 from Satish Dhawan Space Centre, Sriharikota on September 26, 2016. It carries the Ku-band Pencil Beam scatterometer (SCAT) payload developed by SAC-ISRO."
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
SCATSAT-1 | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/scatsat-1,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
