Page Title,Page URL,Source Type,Section Type,Text Content
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"The major input data is NASA Team algorithm-derived SMMR-SSM/I-SSMIS sea ice concentration data over Antarctic Region (Cavalieri, 1996) for 36 years (October 1978 to December 2014). The data was downloaded from NSIDC data site: (http://nsidc.org/data(link is external))."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Following are the three major processing steps :
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,i. Classification of pixels into sea-ice and non-sea-ice classes.
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,ii. Determination of sea-ice-pixel frequency over study period
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,iii. Calculation of Sea Ice Probability
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"iv. Converting the data into three (.bin, .tif, and .png) formats."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"This dataset may be cited as (Rajak et al, 2015). Rajak D. Ram, R.K. Kamaljit Singh, Jayaprasad P., Sandip R. Oza, Rashmi Sharma, and Raj Kumar (2015). Sea Ice Occurrence Probability Data and Its Applications Over the Antarctic. Manuscript submitted to a journal."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"This dataset may be cited as (Rajak et al, 2015)."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"Comiso, J. C. 2000, updated 2014. Bootstrap Sea Ice Concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS. Version 2. [October 1978 to December 2012]. Boulder, Colorado USA: NASA DAAC at the National Snow and Ice Data Center."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"Rajak D. Ram, R.K. Kamaljit Singh, Jayaprasad P., Sandip R. Oza, Rashmi Sharma, and Raj Kumar (2015). PROBABILISTIC SEA ICE OCCURRENCE DATA OVER ANTARCTIC REGION. Manuscript under preparation."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Daily Probability of occurrence of sea ice: Pr = 100 x N / (Y-n)
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"N, is the number of times the pixel has been classified as sea ice (sea ice concentration => 15%);"
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"Y, is the total possible observations, and"
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,n is the number of years with data loss on that particular date.
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,Accuracy assessment of the dataset has not been carried out.
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,The inherent problems of the major input sea ice concentration data (from NSIDC site) may be considered the problems with this dataset.
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"Northern Hemisphere EASE-Grid 2.0 Weekly Snow Cover and Sea Ice Extent. Version 4. Boulder, Colorado USA: NASA DAAC at the National Snow and Ice Data Center (Brodzik, M. and R. Armstrong. 2013.). [http://nsidc.org/data(link is external)]."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,The file names follows SIOP36_MMDD_S.bin[.tif/.png] naming convention;
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"MM refers to month number (01 to 12, 01 being January),"
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"DD refers to date of the month, and"
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,LI,"Data types are indicated by .bin (binary), .tif (geotiff), and .png (portable network graphics)."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Sea Ice Occurrence Probability | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/sea-ice-occurrence-probability,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
