Page Title,Page URL,Source Type,Section Type,Text Content
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,P,"This website is designed, developed and maintained by Space Applications Centre, Indian Space Research Organisation, Department of Space, Government of India."
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,P,"Though all efforts have been made to ensure the accuracy and currency of the content of this website, the same should not be construed as a statement of law or used for any legal purposes."
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,P,"Under no circumstances the MOSDAC will be liable for any expense, loss or damage including, without limitation, indirect or consequential loss or damage, or any expense, loss or damage whatsoever arising from use, or loss or use, of data, arising out of or in connection with use of this website."
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,P,The terms and conditions shall be governed by and construed in accordance with the Indian Laws. Any dispute arising under these terms and conditions shall be subject to the exclusive jurisdiction of the courts of India.
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,P,"This Website provides links to other web pages that are not part of MOSDAC domain, and MOSDAC does not exercise any control over the information on these external links. External links are provided for your convenience and for reasons consistent with objectives of MOSDAC. Once you link to another site, you are subjected to the Terms & Conditions and privacy policy of that new site. MOSDAC does not guarantee the availability of such linked pages at all times. MOSDAC cannot authorize the use of copyright materials contained in the linked websites. Users are advised to request such authorization from the owner of the linked website. MOSDAC does not guarantee that linked websites comply with Indian Government Web Guidelines."
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Terms & Conditions | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/terms-conditions,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
