Page Title,Page URL,Source Type,Section Type,Text Content
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,P,IDV Plugin for INSAT-3D | 3DR Data Products
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,P,Atmospheric Correction Model for Resourcesat-2 AWiFS data (SACRS2)
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,P,Megha Tropiques batch mode HDF5 to Binary/ASCII converter
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,P,Megha Tropiques batch mode HDF5 to Binary/ASCII converter
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,P,HDF5 TO ASCII converter for Kalpana1-VHRR PR products
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,P,HDF5 TO ASCII converter for Kalpana1-VHRR DP products
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/tools,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
