Page Title,Page URL,Source Type,Section Type,Text Content
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Wave based Renewable Energy | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/wave-based-renewable-energy,Energy,LI,The significant wave height (SWH) and wind speed for both the altimeters are taken fromJason-2 (http://www.aviso.oceanobs.com(link is external))SARAL/ALTIKA (http://www.mosdac.gov.in)
