Page Title,Page URL,Source Type,Section Type,Text Content
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Weather | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/weather-reports,Weather,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
