Page Title,Page URL,Source Type,Section Type,Text Content
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,P,"The content components are created with metadata, source and validity date. There would be some content which is permanent in nature and for such content it is assumed that the content would be reviewed in every ten years unless it is edited / deleted based on requirement. The content shall not be displayed on the Website after the validity date. The content components like documents, reports is regularly reviewed as per the Content Review Policy."
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,P,"The content is reviewed at least two weeks prior to the validity date and if required content will be revalidated and validity date is modified. If content is not relevant, then the content is archived and no longer published on the Website. The above mentioned policy in force and will be followed while maintaining the website."
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,P,"Content Contribution, Moderation and Approval Policy"
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,P,"Content would be contributed by the authorized Content Manager in a consistent fashion to maintain uniformity and to bring in standardization along with associated metadata and keywords. In order to present the content as per the requirement of the viewer, organize the content in categorized manner and to retrieve the relevant content efficiently, the content is contributed to the website through a Content Management System which would be web-based having user-friendly interface. The content on the website goes through the entire life-cycle process of:- Creation, Modification, Approval, Moderation, Publishing, Expiry Once the content is contributed it is approved and moderated prior to being published on the Website. If the content is rejected at any level then it is reverted back to the originator of the content for modification.“MOSDAC”has prescribed the appropriate Moderator & Approver for each of the content element."
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,P,"All possible efforts need to be taken to keep the content on the Website current and up-to-date. This Content Review Policy defines the roles and responsibilities of the website content review and the manner in which it needs to be carried out. Review Policies are defined for the diverse content elements. The Review Policy is based on different type of content elements, its validity and relevance as well as the archival policy. The entire website content would be reviewed for syntax checks once a month by the “MOSDAC” Team."
Website Policies | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/website-policies,General,P,"The presence of the website on the Internet and very importantly the site is fully functional all the times. It is expected of the Government websites to deliver information and services on a 24X7 basis. Hence, all efforts should be made to minimize the downtime of the website as far as possible. It is therefore necessary that a proper Contingency Plan to be prepared in handle any eventualities and restore the site in the shortest possible time. The possible contingencies include:"
